,Unnamed: 0,tweet,tweet_id,author_id,lang,created_at,orig_tweet
0,0,christianps horn,236214891596353536,562084550,en,2012-08-16 21:36:33+00:00,@christianps53 no rhinos have 2 horns
1,1,worldwildlife baby orphanage open africa kill horn video httptcoq,236213549209354240,187541345,en,2012-08-16 21:31:13+00:00,"rt @world_wildlife: baby #rhino orphanage opens in s africa, where 448 rhinos were killed for their horns in 2011. video http://t.co/q93 ..."
2,2,embark long weekend include fancy trip toronto zoo go ride still right,236213421455056896,167306462,en,2012-08-16 21:30:42+00:00,"embarking on a long weekend, including a fancy trip to the toronto zoo. going on a rhino ride! they still have those, right?"
3,3, complains chicken eater want eat open fuck farm first well less specie danger extinction,236213270594342913,271594010,en,2012-08-16 21:30:06+00:00,no complains about chicken eaters if you want to eat rhino  open a fucking rhino farm first we'll have less species on danger of extinction
4,4,worldwildlife illegal horn trade controleven need strong penalty stopwildlifecrime,236212720821747713,761158488,en,2012-08-16 21:27:55+00:00,rt @world_wildlife: illegal #rhino horn trade is out of control--even in the us! we need strong penalties to #stopwildlifecrime
5,5,bchbby day left vote favorite pic feature conservation calendar http,236212476444823552,547271415,en,2012-08-16 21:26:57+00:00,rt @bchbby: just a few more days left to vote for your favorite #rhino pics to be featured in the 2013 rhino conservation calendar. http ...
6,6,saveafrica poacher caught arrest ten new poacher cross border mozambique south africa httpt,236212296530137088,187300582,en,2012-08-16 21:26:14+00:00,rt @saveafricarhino: rhino poacher caught! we arrest one and ten new poacher cross the border from mozambique into south africa http://t ...
7,7,blog news sustainable architecture grasshopper habitat design building httptcojtzkiymh,236212117374652417,44619306,en,2012-08-16 21:25:32+00:00,"rhino blog news: sustainable architecture with rhino and grasshopper: el habitat, the art and design building at... http://t.co/jtzkiymh"
8,8, say yao ming hero supposedly he visit kenya film documentary elephant poach,236210292013531136,54994614,en,2012-08-16 21:18:16+00:00,can i just say that yao ming is my hero? supposedly he’s visiting kenya to film a documentary about elephant and rhino poaching.
9,9,saving south africa game farmer sentence jail kill scheme httptcopscvrxmp,236209935854211072,192273530,en,2012-08-16 21:16:51+00:00,rt @savingrhinos: south africa: game farmers sentenced to jail for rhino killing scheme http://t.co/pscvrxmp
10,10,south african orphanage open baby httptcohadnvki yahoonews,236209334382645248,16086855,en,2012-08-16 21:14:28+00:00,south african orphanage opens for baby rhinos http://t.co/h0adnvki via @yahoonews
11,11,wwf baby score team first ever orphanage open south africa watch news httptcoxgslmgm,236208062325735424,409959451,en,2012-08-16 21:09:25+00:00,rt @wwf: baby rhinos score 1 for the team: first ever #rhino #orphanage opened in #south africa! watch the news on http://t.co/xgslmgm6
12,12, day left vote favorite pic feature conservation calendar httptcozupupff,236204742399897600,74908691,en,2012-08-16 20:56:13+00:00,just a few more days left to vote for your favorite #rhino pics to be featured in the 2013 rhino conservation calendar. http://t.co/zupu9pff
13,13,lawsonryan alive edsheeran taylorswift duet kill ,236204361821327363,568046920,en,2012-08-16 20:54:42+00:00,@lawsonryan rhino u alive or did the @edsheeran and @taylorswift13 duet kill u...
14,14,annamiticus south africa game farmer sentence jail kill scheme httptcopjnwql bolebowl,236200864480628736,109041137,en,2012-08-16 20:40:49+00:00,rt @annamiticus: south africa: game farmers sentenced to jail for rhino killing scheme... http://t.co/9pjnw3ql via @bole2bowl
15,15,annamiticus south africa game farmer sentence jail kill scheme httptconxtdcx,236200316733906944,51395114,en,2012-08-16 20:38:38+00:00,rt @annamiticus: south africa: game farmers sentenced to jail for rhino killing scheme... http://t.co/0nxtd4cx
16,16,httptcolvsaajz vegan wild animal horse hippo bull elephant gorilla giraffe panda bear dinosaur vegetarian,236200108138561536,114122051,en,2012-08-16 20:37:48+00:00,http://t.co/lvsaajz9 vegan wild animals (horse hippo rhino bull elephant gorilla giraffe panda bear dinosaurs) vegetarian
17,17,dont tell impossible meet player dream want kill ur dont crush mine bye,236199015803408384,554635320,en,2012-08-16 20:33:28+00:00,don't tell me that it's impossible to meet the rhinos players! i have dreams like u so unless u want me to kill urs don't crush mine k? bye.
18,18,joshluxon hornier ,236196464139845634,584191350,en,2012-08-16 20:23:20+00:00,rt @joshluxon: i'm hornier than a rhino.
19,19,antipoach buddy news feed suspect poacher assault rifle equip silencer shot hazyview last night,236196109326888961,500312308,en,2012-08-16 20:21:55+00:00,"rt @antipoach: rhino buddies news feed: 2 suspected poachers with ak47 assault rifle equipped with silencer, shot near hazyview last night!"
20,20,wildlifeactfund interview simon month ago thanks film carcass yesterday tomorrow,236194036107603968,355388691,en,2012-08-16 20:13:41+00:00,"@wildlifeactfund. we did an interview with simon a few months ago, thanks, i filmed 3 rhino carcasses yesterday, doing more tomorrow"
21,21,south africa game farmer sentence jail kill scheme annamiticus httptcosolaugsa,236193754611077120,396555196,en,2012-08-16 20:12:34+00:00,south africa: game farmers sentenced to jail for rhino killing scheme :: annamiticus http://t.co/solaugsa
22,22,xafrika south africa hong kong cooperate fight poach httptcoyiwjapu christiefynn southafrica,236193392344850433,361980606,en,2012-08-16 20:11:07+00:00,rt @1000xafrika: south africa and hong kong to co-operate to fight poaching http://t.co/yiw3japu via  @christiefynn #southafrica #rhino  ...
23,23,revolution south africa game farmer sentence jail kill scheme annamiticus httptcofwfonm,236193309700284417,291798159,en,2012-08-16 20:10:47+00:00,rt @rhinorevolution: south africa: game farmers sentenced to jail for rhino killing scheme :: annamiticus http://t.co/69fwfonm
24,24,south africa hong kong cooperate fight poach httptcoyiwjapu christiefynn southafrica elephant poach,236193210706296832,454935483,en,2012-08-16 20:10:24+00:00,south africa and hong kong to co-operate to fight poaching http://t.co/yiw3japu via  @christiefynn #southafrica #rhino #elephant #poaching
25,25,ive realize thing killing get attention police killing,236192815871324161,487416833,en,2012-08-16 20:08:50+00:00,i've realized one thing in sa #rhino killings gets more attention than #police killings!!!
